491 0 0 0 0 0 1 0 0 0
146 0 0 0 0 0 0.08 0 0 0
0 0 0 0 0 0 0.05 0 0 1
232 8153 0 1 0 0 1 0.04 0.01 0
199 420 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.16 0 1 1
0 0 0 0 0 0 0.05 0 0 1
0 0 0 0 0 0 0.14 0 0 1
0 0 0 0 0 0 0.09 0 0 1
0 0 0 0 0 0 0.06 0 0 1
0 0 0 0 0 0 0.06 0 1 1
0 0 0 0 0 0 0.02 0 0 1
287 2251 0 1 0 0 1 0.03 0 0
0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0.17 0 0 1
300 13788 0 1 0 0 1 0.02 0 0
233 616 0 1 0 0 1 0.03 0 0
343 1178 0 1 0 0 1 0.04 0 0
0 0 0 0 0 0 0.1 0 0 1
0 0 0 0 0 0 0.06 0 0 1
253 11905 0 1 0 0 1 0.02 0 0
147 105 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0.01 0 0 1
437 14421 0 1 0 0 1 0 0.16 0
0 0 0 0 0 0 0.03 0 0 1
227 6588 0 1 0 0 1 0.14 0.57 0
215 10499 0 1 0 0 1 0 0 0
241 1400 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.28 0 0 1
303 555 0 1 0 0 1 0.01 0 0
45 45 0 0 0 0 1 0 0 0
105 147 0 0 0 0 1 0 0 0
43 43 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0.08 0 0 1
324 2302 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.06 0 0 1
0 0 0 0 0 0 0.22 0 0 1
0 0 0 0 0 0 0.05 0 0 1
1591 372 0 1 0 0 1 0 0 0
146 105 0 0 0 0 0.5 0 0 0
290 3006 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.1 0 0 1
255 861 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.07 0 0 1
302 498 0 1 0 0 1 0.04 0 0
0 0 0 0 0 0 0.07 0 1 1
220 1398 0 1 0 0 1 0.03 0 0
43 69 0 0 0 0 1 0 0 0
44 133 0 0 0 0 1 0.01 0 0
0 0 0 0 0 0 0.07 0 0 1
0 0 0 0 0 0 0.5 0 0 1
43 43 0 0 0 0 1 0 0 0
641 0 0 1 0 0 1 0.04 0 0
0 0 0 0 0 0 0.02 0 1 1
310 2794 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.16 0 1 1
696 333 0 1 0 0 1 0.02 0 0
0 0 0 0 0 0 0.37 0 0 1
0 0 0 0 0 0 0.06 0 1 1
0 0 0 0 0 0 0.12 0 0 1
221 2878 0 1 0 0 1 0.03 0 0
0 0 0 0 0 0 0.11 0 0 1
181 0 0 0 0 0 0.67 0 0 0
42 42 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0.04 0 0 1
12 0 0 1 0 0 1 0.04 0 0
0 0 0 0 0 0 0.03 0 0 1
210 2790 0 1 0 0 1 0.09 0 0
321 5683 0 1 0 0 1 0.04 0 0
0 0 0 0 0 0 0.03 0 1 1
329 3982 0 1 0 0 1 0.05 0 0
0 0 0 0 0 0 0.05 0 1 1
0 0 0 0 0 0 0.09 0 0 1
320 379 0 1 0 0 1 0.02 0 0
0 0 0 0 0 0 0.03 0 0 1
225 3762 0 1 0 0 1 0 0 0
0 0 0 0 0 0 0.05 0 0 1
0 0 0 0 0 0 0.11 0 1 1
146 105 0 0 0 0 0.67 0 0 0
247 1416 0 1 0 0 1 0.09 0.61 0
353 1483 0 1 0 0 1 0 0 0
44 44 0 0 0 0 0.99 0 0 0
0 0 0 0 0 0 0.12 0 1 1
0 0 0 0 0 0 0.02 0 0 1
3065 331 0 1 0 0 1 0.02 0 0
102 102 0 0 0 0 1 0 0 0
259 750 0 1 0 0 1 0.03 0 0
147 105 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0.12 0 0 1
0 354 0 0 0 0 1 0 0 0
309 306 0 1 0 0 1 0.02 0 0
0 0 0 0 0 0 1 0.15 0.68 0
278 7227 0 1 0 0 1 0.05 0 0
313 761 0 1 0 0 1 0.03 0 0
